Authority	2000-01	2001-02	2002-03	2003-04	2004-05	2005-06	2006-07	2007-08	2008-09	2009-10	2010-11	% Increase
Aberdeen City	 873 	 934 	 981 	" 1,020 "	" 1,108 "	" 1,162 "	" 1,196 "	" 1,230 "	" 1,230 "	" 1,230 "	" 1,230 "	40.87
Aberdeenshire	 777 	 855 	 919 	 966 	" 1,014 "	" 1,065 "	" 1,113 "	" 1,141 "	" 1,141 "	" 1,141 "	" 1,141 "	46.85
Adur	163.52	176.82	194.2	214.98	225.83	234.72	245.98	258.34	270.11	280.44	286.94	75.48
Allerdale	119.4	125.11	130.16	137.22	143.84	148.73	154.11	159.67	168.88	175.22	180.99	51.58
Amber Valley	128.27	137.65	145.64	148.67	153.58	160.44	164.98	171.42	178.26	183.37	186.1	45.08
Angus	 771 	 821 	 881 	 933 	 985 	" 1,037 "	" 1,072 "	" 1,072 "	" 1,072 "	" 1,072 "	" 1,072 "	39.04
Argyll & Bute	 938 	 984 	" 1,009 "	" 1,034 "	" 1,075 "	" 1,117 "	" 1,156 "	" 1,178 "	" 1,178 "	" 1,178 "	" 1,178 "	25.59
Arun	135.07	141.25	152.61	163.61	175.19	184.2	193.38	199.97	208.67	214.64	219.47	62.49
Ashfield	125.67	132.79	140.65	144.69	148.23	152.75	157.19	161.72	164.96	169.14	172.53	37.29
Ashford	94	98.63	107.11	112.48	119.19	125.7	131.33	137.48	144.47	151.39	157.62	67.68
Aylesbury Vale	109.43	118.42	128.69	137.92	149.23	158.69	171.6	179.37	190.31	197.4	200.84	83.53
Babergh	129.53	133.94	143.96	158.03	161.72	169	173.72	181.09	189.01	196.47	200.83	55.05
Barking & Dagenham	661.44	697.55	737.55	823.74	868.68	898.74	930.15	974.36	1016.4	1016.4	1016.4	53.66
Barnet	691.91	723.41	741.5	910.21	972.43	991.28	1010.82	1046.24	1082.75	1113.2	1113.2	60.89
Barnsley	757.17	806.49	840.97	906.95	955.16	1005.66	1054.56	1105.26	1148.58	1177.34	1207.36	59.46
Barrow-in-Furness	155.27	160.77	169.13	172.66	180.04	185.46	192.8	194.06	198.22	206.6	206.64	33.08
Basildon	153.64	165.26	180.99	199.14	208.58	218.44	228.13	236.2	246.64	255.71	259.14	68.67
Basingstoke & Deane	96.42	96.56	97.04	99.9	103.19	104.95	107.62	110.17	113.92	117.48	119.72	24.17
Bassetlaw	112.97	118.08	123.41	142.67	147.43	152.42	157.06	162.88	168.33	173.73	174.78	54.71
Bath & North East Somerset	802.94	850.43	909.31	963.05	968.67	1015.34	1065.37	1117.28	1162.43	1202.73	1232.92	53.55
Bedford	113.29	118.34	123.41	129.07	143.01	149.22	156.28	162.03	168.99	-	-	#VALUE!
Bedford UA	-	-	-	-	-	-	-	-	-	1305.28	1336.5	#VALUE!
Bedfordshire	728.8	771.38	847.46	947.18	942.75	989.18	1037.41	1082.33	1123.47	-	-	#VALUE!
Berkshire	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Bexley	679.31	731.12	764.08	878.04	944.27	988.75	1027	1057.81	1089.54	1117.18	1128.59	66.14
Birmingham	853.74	891.4	930.68	971.65	986.14	1013.84	1033.13	1052.78	1072.8	1093.2	1113.97	30.48
Blaby	130.9	138.49	146.78	156.52	163.85	171.48	177.49	183.46	195.52	203.52	208.56	59.33
Blackburn	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Blackburn with Darwen	902.96	943.63	986.09	1073.87	1062	1114.03	1153	1198.05	1220.89	1244.61	1271.38	40.80
