ORDER	Area	Local authority	ONS Code	Mid- 1999 population	Mid-2008 population	Components of change 2008-2009: Live births	Components of change 2008-2009: Deaths	Components of change 2008-2009: Natural change	Components of change 2008-2009: Net migration & other changes	"Total change, 2008-2009"	Mid-2009 population	% change 2008-2009	% change 1999 to 2009
1	UK	UK		"58,684.4"	"61,398.2"	786.7	570.2	216.5	177.2	393.7	"61,792.0"	0.6	5.3
2	GREAT BRITAIN	GREAT BRITAIN		"57,005.4"	"59,623.2"	761.3	555.4	205.9	173.9	379.8	"60,003.1"	0.6	5.3
3	ENGLAND & WALES	ENGLAND & WALES		"51,933.5"	"54,454.7"	702.0	500.7	201.4	153.0	354.3	"54,809.1"	0.7	5.5
4	ENGLAND	ENGLAND		"49,032.9"	"51,464.6"	667.0	469.0	198.0	147.0	345.1	"51,809.7"	0.7	5.7
5	NORTH EAST	NORTH EAST		"2,550.3"	"2,570.6"	29.6	26.7	2.9	10.7	13.6	"2,584.3"	0.5	1.3
6	NORTH EAST	County Durham UA	00EJ	496.1	505.0	5.5	5.3	0.2	1.2	1.4	506.4	0.3	2.1
14	NORTH EAST	Darlington UA	00EH	98.2	100.1	1.3	1.1	0.2	0.2	0.4	100.4	0.3	2.2
15	NORTH EAST	Hartlepool UA	00EB	89.7	90.8	1.1	0.9	0.2	-0.1	0.1	90.9	0.1	1.3
16	NORTH EAST	Middlesbrough UA	00EC	143.0	140.1	1.9	1.5	0.4	0.0	0.4	140.5	0.3	-1.7
17	NORTH EAST	Northumberland UA	00EM	307.5	310.9	3.0	3.3	-0.3	0.4	0.1	311.1	0.1	1.2
24	NORTH EAST	Redcar and Cleveland UA	00EE	139.5	137.8	1.5	1.4	0.1	-0.4	-0.4	137.5	-0.2	-1.4
25	NORTH EAST	Stockton-on-Tees UA	00EF	180.8	189.8	2.4	1.7	0.7	0.6	1.2	191.1	0.7	5.7
26	NORTH EAST	Tyne and Wear (Met County)		"1,095.5"	"1,096.1"	12.9	11.5	1.5	8.8	10.2	"1,106.3"	0.9	1.0
27	NORTH EAST	Gateshead	00CH	193.3	189.9	2.4	2.1	0.3	0.6	0.9	190.8	0.5	-1.3
28	NORTH EAST	Newcastle upon Tyne	00CJ	271.0	277.8	3.4	2.6	0.7	5.7	6.4	284.3	2.3	4.9
29	NORTH EAST	North Tyneside	00CK	190.1	196.0	2.3	2.2	0.2	1.0	1.1	197.2	0.6	3.7
30	NORTH EAST	South Tyneside	00CL	153.6	151.4	1.7	1.7	0.0	1.0	1.0	152.4	0.7	-0.8
31	NORTH EAST	Sunderland	00CM	287.5	280.9	3.1	2.9	0.2	0.5	0.7	281.7	0.3	-2.0
32	NORTH WEST	NORTH WEST		"6,773.1"	"6,874.1"	87.3	69.5	17.8	6.0	23.8	"6,897.9"	0.3	1.8
33	NORTH WEST	Blackburn with Darwen UA	00EX	138.2	139.4	2.4	1.3	1.1	-0.6	0.5	139.9	0.4	1.2
34	NORTH WEST	Blackpool UA	00EY	143.0	140.6	1.7	1.8	-0.1	-0.5	-0.6	140.0	-0.4	-2.1
35	NORTH WEST	Cheshire East UA	00EQ	350.9	362.2	4.0	3.6	0.4	0.1	0.5	362.7	0.1	3.4
39	NORTH WEST	Cheshire West and Chester UA	00EW	319.6	326.0	3.6	3.1	0.5	0.1	0.6	326.6	0.2	2.2
43	NORTH WEST	Halton UA	00ET	119.6	118.5	1.6	1.1	0.4	-0.3	0.2	118.7	0.2	-0.8
44	NORTH WEST	Warrington UA	00EU	190.3	196.2	2.5	1.7	0.8	0.7	1.5	197.8	0.8	3.9
45	NORTH WEST	Cumbria		488.3	495.9	5.0	5.4	-0.4	-0.5	-0.8	495.0	-0.2	1.4
