,Council,TaxRate,Pay,Details,Name,Title,Population,AdjustedPay,ProportionAsPay
0,Aberdeen City,1230.0,129698,"Salary, fees & allowances £107,272; Compensation for loss of employment £1909; Pension contribution £20,517. The value of compensation for loss of employment is in relation to pay in lieu of holidays. Left 31 December 2010",Sue Bruce,Chief Executive ,213800.0,0.606632366698,0.493197046096
1,Aberdeenshire,1141.0,170600,"Gross salary, fees & allowances £143,121; Pension contributions £27,479",Colin Mackenzie,Chief Executive,243500.0,0.700616016427,0.614036824213
2,Adur,286.94,135656,"Salary incl fees & allowances £115,510; Expense allowance £98; Benefit in kind £1,433; Pension contribution £18,713. This post is shared with Worthing BC, they contributed £67,828 towards the cost",,Chief Executive (Shared with Worthing BC),61300.0,2.21298531811,7.71236257792
3,Allerdale,180.99,122055,"Salary (including fees and allowances) £99,999.96; Expense allowances £2,455.50; Pension contributions £19,599.96",,Chief Executive,94300.0,1.29432661718,7.15137088888
4,Amber Valley,186.1,124000,"Salary, fees & allowances (including returning officer fees) £101,000; Pension contributions £22,000; Benefits in kind £1,000",,Chief Executive,121000.0,1.02479338843,5.50668129194
5,Angus,1072.0,145076,"Salary, fees & allowances £116,523; Non-cash expenses £5,967; Pension contributions £22,586. Left post on 9 March 2011. This includes £2,039 in relation to elections Returning Officer duties for which the Council is reimbursed. 2010-11 full year equivalent total of salary, fees & allowances is £123,719 (incl. Returning Officer fees)",D Sawers,Chief Executive,110300.0,1.31528558477,1.22694550818
6,Arun,219.47,149580,"Salary and allowances £116,531; Expenses allowances £5,796; Pension contribution £27,253",,Chief Executive,149900.0,0.997865243496,4.54670453135
7,Ashfield,172.53,116400,"Salary £91,250; Expenses £1,198; Benefits in kind £3,512; Pension contributions £20,440. Salary from 1 April 2010 to 30 September 2010 was £90,000, then from 1 October 2010 increased to £92,500.",,Chief Executive,116400.0,1.0,5.79609343303
8,Ashford,157.62,135353,"Salary (including fees & allowances) £104,854.91; Benefits in kind £2,797.24; Pension contributions £27,700.64. Started 28 September 2009",,Chief Executive,114100.0,1.18626643295,7.5261161842
9,Aylesbury Vale,200.84,174000,"Salary (including fees & allowances) £142,000; Pension contributions £32,000",A Grant,Chief Executive,173500.0,1.00288184438,4.99343678739
10,Babergh,200.83,140543,"Salary, fees and allowances £120,507; Expenses/Benefits in kind £702; Pension contribution £19,334",,Chief Executive,85800.0,1.63803030303,8.15630285829
11,Barnet,1113.2,250818,"Salary (including fees & allowances) £200,976; Pension contributions £49,842",N Walkley ,Chief Executive,343100.0,0.731034683766,0.656696625733
12,Barnsley,1207.36,167000,"Salary £138,000; Expenses Allowances £3,000; Pension Contributions £26,000",,Chief Executive,226300.0,0.737958462218,0.611216590096
13,Barrow-in-Furness,206.64,111000,"Salary £99,000; Employers pension contribution £12,000",,Chief Executive,70900.0,1.56558533145,7.5763904929
14,Basildon,259.14,232820,"Salary, Fees and Allowances £175,128; Performance Related Pay £28,442; Expense Allowance £3,000; Benefits in Kind £1,545; Pension Contribution £24,705",Bala Mahendran,Chief Executive,174100.0,1.33727742677,5.16044387885
15,Bassetlaw,174.78,137476,"Salary (including Fees & Allowances) £114,880; Pension Contribution £22,596",,Chief Executive,111600.0,1.23186379928,7.04808215633
16,Bexley,1128.59,258782,"Salary £185,747; Expenses £2,682; Benefits in Kind £10,819; Pension Contribution £40,957; Additional election fees paid for elections May 2010 of £18,577",Will Tuckley,Chief Executive,225900.0,1.14555998229,1.01503644574
17,Birmingham,1113.97,228490,"Salary £198,925; Pension Contribution £29,565",Stephen Hughes,Chief Executive,1028700.0,0.222115291144,0.199390729682
18,Blaby,208.56,109699,"Salary £89,125; Expenses £87; Benefits in Kind £3,776; Pension Contribution £16,711",,Chief Executive,93600.0,1.17199786325,5.61947575397
19,Blackburn with Darwen,1271.38,183000,"Salary £158,000; Expenses £1,000; Pension Contribution £24,000. From 1st August 2010, the post of Chief Executive assumed responsibility for both Blackburn with Darwen Borough Council and Blackburn with Darwen Teaching Care Trust Plus, and 30% of the salary costs have been charged to the Care Trust Plus.",Graham Burgess,Chief Executive _ BwD Council/Care Trust Plus,139900.0,1.308077198,1.02886406739
20,Blackpool,1306.09,169350,"Salary £143,832; Expenses £963; Benefits in Kind £1,254; Pension contribution £23,301",,Chief Executive,140000.0,1.20964285714,0.926155821684
21,Blackpool,1306.09,195304,"Salary £138,891; Expenses £7,200; Compensation for loss of office £21,220; Benefits in kind £5,493; Pension contributions £22,500. The post was disestablished on 31st March 2011.",,Chief Executive - RE-Blackpool,140000.0,1.39502857143,1.06809528549
22,Blaenau Gwent,1381.69,163624,"Salary £111,866; Expenses £148; Benefits in Kind £1,132; Pension contribution £25,394; Compensation £25,084",,Chief Executive,68600.0,2.38518950437,1.72628411899
23,Bolsover,257.36,112848,"Salary £89,958; Expenses £3,490; Benefits in Kind £433; Pension contribution £18,967",,Chief Executive,74200.0,1.52086253369,5.90947518532
24,Bolton,1217.38,196860,"Salary £170,000; Pension Contribution £26,860",Sean Harriss,Chief Executive,265100.0,0.742587702754,0.609988420012
25,Boston,182.37,107700,"Salary (including fees and allowances) £107,700. Resigned on 31 August 2009, New CE posted on an interim consultancy basis",,Chief Executive,59000.0,1.82542372881,10.0094518222
26,Bournemouth,1258.29,149749,"Salary £125,481; Expenses £1,576; Pension Contribution £22,692",,Chief Executive,164900.0,0.908120072771,0.721709679622
27,Bracknell Forest,1155.04,187200,"Salary £161,500; Expenses £1,400; Pension Contribution £24,300",T Wheadon,Chief Executive,115100.0,1.62641181581,1.40809999291
28,Bradford,1100.0,227234,"Salary £196,908; Expenses £1,239; Pension Contribution £29,087",Tony Reeves,Chief Executive,506800.0,0.448370165746,0.407609241587
29,Braintree,194.41,149000,"Salary £130,000; Benefits £2,000; Pension Contribution £17,000",,Chief Executive,142700.0,1.04414856342,5.37085830677
30,Brent,1058.94,232646,"Salary £203,853; Pension Contribution £28,793",G Daniel,Chief Executive,255500.0,0.9105518591,0.859871058889
31,Bridgend,1240.56,169469,"Salary £131,178; Expenses £495; Benefits £10,267; Pension Contribution £27,529",,Chief Executive,134200.0,1.26280923994,1.01793483583
32,Broadland,169.39,130264,"Salary £109,110; Expenses £454; Pension Contribution £20,700",,Chief Executive,123000.0,1.05905691057,6.25218082867
33,Bromley,991.31,202295,"Salary £177,135; Pension Contribution £25,160",D Patterson,Chief Executive,310200.0,0.652143778208,0.657860586706
34,Broxbourne,113.24,132147,"Salary £114,215; Pension Contribution £17,932",,Chief Executive ,90200.0,1.4650443459,12.9375163008
35,Broxtowe,184.34,127448,"Salary £108,129; Pension Contribution £19,319",,Chief Executive,111500.0,1.14303139013,6.20066936169
36,Buckinghamshire,1077.74,259104,"Salary £207,000; Benefit in kind £4,770; Pension contribution £47,334",Chris Williams,Chief Executive,494700.0,0.523759854457,0.485979785901
37,Burnley,258.99,135432,"Salary £112,728; Elections £6,806; Pension Contribution £15,898",Steve Rumbelow,Chief Executive,85600.0,1.58214953271,6.10892132017
38,Bury,1259.75,173735,"Salary £146,927; Benefit in kind £883; Pension Contribution £25,925. Retired 28 February 2011",M Sanders,Chief Executive,182600.0,0.951451259584,0.755269902428
39,Caerphilly,1088.56,117926,"Salary £103,531; Expenses £572; Pension Contribution £13,823. Retired September 2010",,Chief Executive,172700.0,0.682837290098,0.627284936153
40,Caerphilly,1088.56,136639,"As Director of Environment: Salary £51,924; Expenses £737; Pension contribution £10,904. As Chief Executive: Salary £59,838; Expenses £670; Pension Contribution £12,566. Director of Environment took over as Chief Executive and post was removed",,Chief Executive (Formerly Director of Environment),172700.0,0.791192819919,0.726825181817
41,Calderdale,1233.77,170000,"Salary £147,000; Expenses £1,000; Pension Contribution £22,000",,Chief Executive,201600.0,0.843253968254,0.683477445759
